'INGRID' | 1298211829 | 1298214943 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298214946 | 1298217622 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298217624 | 1298220284 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298220287 | 1298222952 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298222955 | 1298225618 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298225621 | 1298228277 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298228280 | 1298230943 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298230946 | 1298233944 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298233948 | 1298236606 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298236609 | 1298239266 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298239269 | 1298241922 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298241925 | 1298244588 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298244591 | 1298247253 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298247256 | 1298249915 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298249919 | 1298252575 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298252578 | 1298255240 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298255244 | 1298257915 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298257919 | 1298260589 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298260594 | 1298263353 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298263355 | 1298266054 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298266245 | 1298269134 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
